"ID" "Description" "source" "Ratio" "BgRatio" "pvalue" "FDR" "disease_class" "disease_class_name" "disease_semantic_type" "shared_geneid" "shared_symbol" "Count" "gg" "region"
"54" "C2931163" "Male sterility due to Y-chromosome deletions" "CURATED" "2/4" "8/9703" 3.56773625845179e-06 5.94622709741965e-06 "C12;C13;C16;C19;C23" "Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases;Pathological Conditions, Signs and Symptoms" "Disease or Syndrome" "8287;8653" "USP9Y;DDX3Y" 2 0.153846153846154 "PL"
"15" "C0033578" "Prostatic Neoplasms" "CURATED" "1/4" "616/9703" 0.230820616210821 0.230820616210821 "C04;C12" "Neoplasms;Male Urogenital Diseases" "Neoplastic Process" "83259" "PCDH11Y" 1 0.0769230769230769 "PL"
"26" "C0376358" "Malignant neoplasm of prostate" "CURATED" "1/4" "616/9703" 0.230820616210821 0.230820616210821 "C04;C12" "Neoplasms;Male Urogenital Diseases" "Neoplastic Process" "83259" "PCDH11Y" 1 0.0769230769230769 "PL"
"45" "C1839071" "Spermatogenic Failure, Nonobstructive, Y-Linked" "CURATED" "3/4" "16/9703" 1.47157197190587e-08 7.35785985952937e-08 "C12;C16" "Male Urogenital Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities" "Disease or Syndrome" "8287;8653;8284" "USP9Y;DDX3Y;KDM5D" 3 0.230769230769231 "STR"
"37" "C1507149" "Partial chromosome Y deletion" "CURATED" "2/4" "8/9703" 3.56773625845179e-06 5.94622709741965e-06 "C12;C13;C16;C19;C23" "Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases;Pathological Conditions, Signs and Symptoms" "Cell or Molecular Dysfunction" "8287;8653" "USP9Y;DDX3Y" 2 0.153846153846154 "STR"
"55" "C2931163" "Male sterility due to Y-chromosome deletions" "CURATED" "2/4" "8/9703" 3.56773625845179e-06 5.94622709741965e-06 "C12;C13;C16;C19;C23" "Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases;Pathological Conditions, Signs and Symptoms" "Disease or Syndrome" "8287;8653" "USP9Y;DDX3Y" 2 0.153846153846154 "STR"
"16" "C0033578" "Prostatic Neoplasms" "CURATED" "1/4" "616/9703" 0.230820616210821 0.230820616210821 "C04;C12" "Neoplasms;Male Urogenital Diseases" "Neoplastic Process" "83259" "PCDH11Y" 1 0.0769230769230769 "STR"
"27" "C0376358" "Malignant neoplasm of prostate" "CURATED" "1/4" "616/9703" 0.230820616210821 0.230820616210821 "C04;C12" "Neoplasms;Male Urogenital Diseases" "Neoplastic Process" "83259" "PCDH11Y" 1 0.0769230769230769 "STR"
"821" "C1839071" "Spermatogenic Failure, Nonobstructive, Y-Linked" "CURATED" "3/6" "16/9703" 7.34307080712725e-08 6.90248655869961e-06 "C12;C16" "Male Urogenital Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities" "Disease or Syndrome" "8287;8653;8284" "USP9Y;DDX3Y;KDM5D" 3 0.1875 "TC"
"781" "C1507149" "Partial chromosome Y deletion" "CURATED" "2/6" "8/9703" 8.91198477448582e-06 0.000279242189600556 "C12;C13;C16;C19;C23" "Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases;Pathological Conditions, Signs and Symptoms" "Cell or Molecular Dysfunction" "8287;8653" "USP9Y;DDX3Y" 2 0.125 "TC"
"86" "C2931163" "Male sterility due to Y-chromosome deletions" "CURATED" "2/6" "8/9703" 8.91198477448582e-06 0.000279242189600556 "C12;C13;C16;C19;C23" "Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases;Pathological Conditions, Signs and Symptoms" "Disease or Syndrome" "8287;8653" "USP9Y;DDX3Y" 2 0.125 "TC"
"7" "C0007282" "Carotid Stenosis" "CURATED" "1/6" "5/9703" 0.00308895981272841 0.0263965656724064 "C10;C14" "Nervous System Diseases;Cardiovascular Diseases" "Disease or Syndrome" "6696" "SPP1" 1 0.0625 "TC"
"231" "C0023896" "Alcoholic Liver Diseases" "CURATED" "1/6" "4/9703" 0.00247180481471436 0.0263965656724064 "C06;C25" "Digestive System Diseases;Chemically-Induced Disorders" "Disease or Syndrome" "6696" "SPP1" 1 0.0625 "TC"
"46" "C1839071" "Spermatogenic Failure, Nonobstructive, Y-Linked" "CURATED" "3/4" "16/9703" 1.47157197190587e-08 7.35785985952937e-08 "C12;C16" "Male Urogenital Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities" "Disease or Syndrome" "8287;8653;8284" "USP9Y;DDX3Y;KDM5D" 3 0.25 "THA"
"38" "C1507149" "Partial chromosome Y deletion" "CURATED" "2/4" "8/9703" 3.56773625845179e-06 5.94622709741965e-06 "C12;C13;C16;C19;C23" "Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases;Pathological Conditions, Signs and Symptoms" "Cell or Molecular Dysfunction" "8287;8653" "USP9Y;DDX3Y" 2 0.166666666666667 "THA"
"56" "C2931163" "Male sterility due to Y-chromosome deletions" "CURATED" "2/4" "8/9703" 3.56773625845179e-06 5.94622709741965e-06 "C12;C13;C16;C19;C23" "Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Endocrine System Diseases;Pathological Conditions, Signs and Symptoms" "Disease or Syndrome" "8287;8653" "USP9Y;DDX3Y" 2 0.166666666666667 "THA"
"17" "C0033578" "Prostatic Neoplasms" "CURATED" "1/4" "616/9703" 0.230820616210821 0.230820616210821 "C04;C12" "Neoplasms;Male Urogenital Diseases" "Neoplastic Process" "83259" "PCDH11Y" 1 0.0833333333333333 "THA"
"28" "C0376358" "Malignant neoplasm of prostate" "CURATED" "1/4" "616/9703" 0.230820616210821 0.230820616210821 "C04;C12" "Neoplasms;Male Urogenital Diseases" "Neoplastic Process" "83259" "PCDH11Y" 1 0.0833333333333333 "THA"
